rank,seed,adj_em,adj_o,adj_d,adj_t,luck,sos_em,sos_o,sos_d,ncsos_em,wins,losses,win_pct,home_win_pct,away_win_pct,power_six,n_champs,n_ffour,n_eeight,home_proxy,massey_rank,home,season,teamID
,,,,,,,,,,,97,110,0.46859903381642515,0.5833333333333334,0.3902439024390244,0,0,0,0,0.09486286729827742,,0,2012,1101
188.0,,-2.2,100.0,102.2,61.1,-0.017,1.28,102.5,101.2,-11.06,109,180,0.3771626297577855,0.48148148148148145,0.2440944881889764,0,0,0,0,0.07476467174486545,132.0,0,2012,1102
70.0,5.0,10.66,108.3,97.7,66.4,-0.021,2.81,104.6,101.8,3.86,200,108,0.6493506493506493,0.7530864197530864,0.5342465753424658,0,0,0,0,0.7404064089328194,101.0,0,2012,1103
27.0,9.0,16.69,106.1,89.5,61.9,-0.067,7.07,107.4,100.3,3.98,184,135,0.5768025078369906,0.6420454545454546,0.4965034965034965,1,0,0,0,0.5355730013807652,19.0,0,2012,1104
337.0,,-21.42,90.0,111.4,66.8,-0.063,-11.19,93.6,104.8,9.08,68,208,0.2463768115942029,0.37272727272727274,0.16265060240963855,0,0,0,0,0.6540633466909027,320.0,0,2012,1105
315.0,,-16.87,87.8,104.7,63.5,0.026,-9.96,95.4,105.4,9.52,101,183,0.35563380281690143,0.4789915966386555,0.26666666666666666,0,0,0,0,0.506703584291628,270.0,0,2012,1106
199.0,,-2.8,108.8,111.6,64.7,-0.019,-8.11,97.4,105.5,-5.75,180,124,0.5921052631578947,0.676056338028169,0.5185185185185185,0,0,0,0,0.31944772630116125,209.0,0,2012,1107
331.0,,-20.18,88.4,108.6,67.4,-0.046,-11.22,94.2,105.4,7.42,88,187,0.32,0.4909090909090909,0.20606060606060606,0,0,0,0,0.560232340152724,333.0,0,2012,1108
,,,,,,,,,,,0,0,,,,0,0,0,0,,,0,2012,1109
177.0,,-0.91,101.3,102.2,61.7,0.056,-5.45,100.1,105.5,-4.69,128,159,0.445993031358885,0.5806451612903226,0.34355828220858897,0,0,0,0,-0.8726260923856994,277.0,0,2012,1110
258.0,,-8.4,99.6,108.0,65.5,0.005,-4.14,101.0,105.2,4.97,107,180,0.37282229965156793,0.4846153846153846,0.2802547770700637,0,0,0,0,0.5354936067030712,152.0,0,2012,1111
51.0,1.0,12.77,107.6,94.9,64.3,-0.051,3.71,105.2,101.5,1.3,246,79,0.7569230769230769,0.7903225806451613,0.7122302158273381,1,0,0,0,-0.4702041766461367,16.0,0,2012,1112
230.0,,-5.55,100.6,106.1,62.5,0.006,2.84,103.7,100.8,-3.67,172,140,0.5512820512820513,0.616580310880829,0.44537815126050423,1,0,0,0,-0.4679935479672126,138.0,0,2012,1113
